Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123218447,"The False Goddess (The False Goddess Trilogy, #1)",Amy Leow,"Leow, Amy",,"=""""","=""""",0,0.0,Orbit Books,,,,,,2023/03/11,to-read,to-read (#1373),to-read,,,,0,0
26118426,"Ninefox Gambit (The Machineries of Empire, #1)",Yoon Ha Lee,"Lee, Yoon Ha",,"=""""","=""""",0,3.81,Solaris Books,Paperback,384,2016,2016,,2023/03/03,"currently-reading, space-opera","currently-reading (#2), space-opera (#2)",currently-reading,,,,1,0
36373688,"Revenant Gun (The Machineries of Empire, #3)",Yoon Ha Lee,"Lee, Yoon Ha",,"=""1781086079""","=""9781781086070""",0,4.14,Solaris,Paperback,427,2018,2018,,2023/03/03,to-read,to-read (#1372),to-read,,,,0,0
32927239,"Raven Stratagem (The Machineries of Empire, #2)",Yoon Ha Lee,"Lee, Yoon Ha",,"=""1781085374""","=""9781781085370""",0,4.11,Solaris,Paperback,355,2017,2017,,2023/03/03,to-read,to-read (#1371),to-read,,,,0,0
96278,"Sheepfarmer's Daughter (The Deed of Paksenarrion, #1)",Elizabeth Moon,"Moon, Elizabeth",,"=""0671319647""","=""9780671319649""",0,4.13,Baen Books,Mass Market Paperback,506,2000,1988,,2023/03/02,to-read,to-read (#1370),to-read,,,,0,0
61918520,"Engines of Chaos (The Age of Uprising, #2)",Richard S. Ford,"Ford, Richard S.",,"=""1668622106""","=""9781668622100""",0,4.57,Orbit,Paperback,,2023,2023,,2023/03/01,to-read,to-read (#1369),to-read,,,,0,0
55443,"Eye of the Labyrinth (Second Sons, #2)",Jennifer Fallon,"Fallon, Jennifer",,"=""0553586696""","=""9780553586695""",0,4.20,Random House Inc.,Mass Market Paperback,528,2004,2003,,2023/03/01,to-read,to-read (#1367),to-read,,,,0,0
274416,"Lord of the Shadows (Second Sons, #3)",Jennifer Fallon,"Fallon, Jennifer",,"=""055358670X""","=""9780553586701""",0,4.26,Spectra Books,Paperback,592,2004,2003,,2023/03/01,to-read,to-read (#1368),to-read,,,,0,0
384352,"Lion of Senet (Second Sons, #1)",Jennifer Fallon,"Fallon, Jennifer",,"=""0553586688""","=""9780553586688""",0,4.04,Random House Inc,Mass Market Paperback,561,2004,2004,,2023/03/01,to-read,to-read (#1366),to-read,,,,0,0
58416952,"The Will of the Many (Hierarchy, #1)",James  Islington,"Islington, James",,"=""""","=""""",0,4.73,Gallery / Saga Press,Kindle Edition,688,2023,2023,,2023/03/01,to-read,to-read (#1365),to-read,,,,0,0
80407542,Fortress of the Lost Amulet,Michael   Webb,"Webb, Michael",,"=""1737578840""","=""9781737578840""",0,4.58,Whatup Publishing LLC,Paperback,337,2023,,,2023/03/01,to-read,to-read (#1364),to-read,,,,0,0
30753839,Three Queens in Erin: A Novel,Douglas Nicholas,"Nicholas, Douglas",,"=""1476756015""","=""9781476756011""",0,4.03,Emily Bestler Books,Paperback,304,2017,,,2023/02/27,to-read,to-read (#1363),to-read,,,,0,0
22609518,"Throne of Darkness (Something Red, #3)",Douglas Nicholas,"Nicholas, Douglas",,"=""1476755981""","=""9781476755984""",0,4.12,Emily Bestler Books,Paperback,352,2015,2015,,2023/02/27,to-read,to-read (#1362),to-read,,,,0,0
18122779,"The Wicked (Something Red, #2)",Douglas Nicholas,"Nicholas, Douglas",,"=""1451660243""","=""9781451660241""",0,3.99,Emily Bestler Books,Paperback,368,2014,2014,,2023/02/27,to-read,to-read (#1360),to-read,,,,0,0
20943461,"The Demon (Something Red, #2.5)",Douglas Nicholas,"Nicholas, Douglas",,"=""""","=""""",0,3.35,Atria/Emily Bestler Books,Kindle Edition,33,2014,2014,,2023/02/27,to-read,to-read (#1361),to-read,,,,0,0
15015028,"Something Red (Something Red, #1)",Douglas Nicholas,"Nicholas, Douglas",,"=""1451660227""","=""9781451660227""",0,3.57,Atria/Emily Bestler Books,Paperback,336,2013,2010,,2023/02/27,to-read,to-read (#1359),to-read,,,,0,0
52381714,"The Unconquered City (Chronicles of Ghadid, #3)",K.A. Doore,"Doore, K.A.",,"=""0765398591""","=""9780765398598""",0,4.18,Tor Books,Paperback,400,2020,2020,,2023/02/27,to-read,to-read (#1358),to-read,,,,0,0
43263188,The Impossible Contract (The Chronicles of Ghadid #2),K.A. Doore,"Doore, K.A.",,"=""0765398575""","=""9780765398574""",0,4.10,Tor Trade,Paperback,368,2019,2019,,2023/02/27,to-read,to-read (#1357),to-read,,,,0,0
39863314,"The Perfect Assassin (Chronicles of Ghadid, #1)",K.A. Doore,"Doore, K.A.",,"=""0765398559""","=""9780765398550""",0,3.74,Tor Books,Paperback,350,2019,2019,,2023/02/27,to-read,to-read (#1356),to-read,,,,0,0
59807968,Leech,Hiron Ennes,"Ennes, Hiron",,"=""125081118X""","=""9781250811189""",3,3.67,Tordotcom,Hardcover,323,2022,2022,2023/02/27,2023/02/06,horror-fantasy,horror-fantasy (#3),read,,,,1,0
537148,"The Gap Into Ruin: This Day All Gods Die (Gap, #5)",Stephen R. Donaldson,"Donaldson, Stephen R.",,"=""0553071807""","=""9780553071801""",0,4.24,Spectra,Hardcover,564,1996,1996,,2020/11/05,currently-reading,currently-reading (#1),currently-reading,,,,1,0
629068,"Deathstalker (Deathstalker, #1)",Simon R. Green,"Green, Simon R.",,"=""0575601604""","=""9780575601604""",0,3.94,Gollancz,Mass Market Paperback,571,2006,1994,,2023/02/22,to-read,to-read (#1355),to-read,,,,0,0
60795459,Arch-Conspirator,Veronica Roth,"Roth, Veronica",,"=""1250855462""","=""9781250855466""",0,3.52,Tor Books,Hardcover,112,2023,2023,,2023/02/21,to-read,to-read (#1353),to-read,,,,0,0
60784461,"Sister, Maiden, Monster",Lucy A. Snyder,"Snyder, Lucy A.",,"=""1250825652""","=""9781250825650""",0,3.75,Tor Nightfire,Paperback,272,2023,2023,,2023/02/21,to-read,to-read (#1354),to-read,,,,0,0
60542327,"The Hand That Casts the Bone (The Vanguard Chronicles, #2)",H.L.Tinsley,"H.L.Tinsley, H.L.Tinsley",,"=""""","=""""",4,4.35,979843526956,Paperback,416,2022,2022,2023/02/18,2022/05/22,,,read,,,,1,0
62315620,The Sword Defiant,Gareth Ryder-Hanrahan,"Ryder-Hanrahan, Gareth",,"=""0316537152""","=""9780316537155""",0,4.29,Orbit,Paperback,608,2023,2023,,2023/02/18,to-read,to-read (#1352),to-read,,,,0,0
59781038,"The Shadow Casket (The Darkwater Legacy, #2)",Chris Wooding,"Wooding, Chris",,"=""""","=""""",0,4.26,Gollancz,Kindle Edition,832,2023,2023,,2023/02/16,to-read,to-read (#1351),to-read,,,,0,0
60418061,"Reckoning (Donovan, #6)",W. Michael Gear,"Gear, W. Michael",,"=""0756417732""","=""9780756417734""",0,4.58,Daw Books,Hardcover,464,2022,2022,,2023/02/09,to-read,to-read (#1350),to-read,,,,0,0
55540318,"Adrift (Donovan, #5)",W. Michael Gear,"Gear, W. Michael",,"=""""","=""""",0,4.21,,Kindle Edition,,2021,2021,,2023/02/09,to-read,to-read (#1349),to-read,,,,0,0
52675446,"Unreconciled (Donovan Book, #4)",W. Michael Gear,"Gear, W. Michael",,"=""0756415667""","=""9780756415662""",0,4.31,Daw Books,Hardcover,488,2020,2020,,2023/02/09,to-read,to-read (#1348),to-read,,,,0,0
41443584,Pariah (Donovan Trilogy #3),W. Michael Gear,"Gear, W. Michael",,"=""""","=""""",0,4.28,DAW,Kindle Edition,432,2019,2019,,2023/02/09,to-read,to-read (#1347),to-read,,,,0,0
38650699,Abandoned (Donovan Trilogy #2),W. Michael Gear,"Gear, W. Michael",,"=""0756413400""","=""9780756413408""",0,4.29,Daw Books,Hardcover,438,2018,,,2023/02/09,to-read,to-read (#1346),to-read,,,,0,0
35134809,Outpost (Donovan Trilogy #1),W. Michael Gear,"Gear, W. Michael",,"=""0756413370""","=""9780756413378""",0,3.88,Daw Books,Hardcover,422,2018,2018,,2023/02/09,to-read,to-read (#1345),to-read,,,,0,0
18188239,The Bloody Chorus,John Marco,"Marco, John",,"=""""","=""9798987367698""",0,4.62,Lonely Archer Press,Kindle Edition,455,2023,,,2023/02/06,to-read,to-read (#1344),to-read,,,,0,0
10754265,"The Written (Emaneska, #1)",Ben Galley,"Galley, Ben",,"=""0956770002""","=""9780956770004""",0,3.74,BenGalley.com,Paperback,418,2011,2010,,2019/11/14,to-read,to-read (#1343),to-read,,,,0,0
57693184,Dead Silence,S.A. Barnes,"Barnes, S.A.",Stacey Kade,"=""1250819997""","=""9781250819994""",3,3.80,Tor Nightfire,Hardcover,343,2022,2022,2023/02/06,2022/02/12,,,read,,,,1,0
93891433,"Lord and King (The Drowned Kingdom, #3)",P.L. Stuart,"Stuart, P.L.",,"=""""","=""9781039174511""",0,5.00,FriesenPress,Paperback,,2023,,,2023/02/02,to-read,to-read (#1342),to-read,,,,0,0
61294937,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",S.A. Chakraborty,"Chakraborty, S.A.",,"=""0062963503""","=""9780062963505""",0,4.47,Harper Voyager,Hardcover,483,2023,2023,,2023/02/01,to-read,to-read (#1341),to-read,,,,0,0
61813107,Ascension,Nicholas Binge,"Binge, Nicholas",,"=""0593539583""","=""9780593539583""",0,4.36,Riverhead Books,Hardcover,352,2023,2023,,2023/01/31,to-read,to-read (#1340),to-read,,,,0,0
55198203,The Weeping Sigil (The Dreadbound Ode #2),Jordan Loyal Short,"Short, Jordan Loyal",,"=""""","=""B08H4JDBSP""",3,4.66,Independent ,Paperback,324,2020,,2023/01/29,2022/02/16,,,read,2.5/5 DNF @ 80%,,,1,0
7165300,"The Black Prism (Lightbringer, #1)",Brent Weeks,"Weeks, Brent",,"=""0316075558""","=""9780316075558""",5,4.23,Orbit,Hardcover,629,2010,2010,2023/01/22,2019/12/19,,,read,,,,1,0
48717736,"A Fool's Hope (The Last War, #2)",Mike Shackle,"Shackle, Mike",,"=""1473225272""","=""9781473225275""",5,4.42,Gollancz,Paperback,594,2020,2020,2023/01/19,2020/08/22,,,read,,,,1,0
63048498,"Kasrkin (Warhammer 40,000)",Edoardo Albert,"Albert, Edoardo",,"=""""","=""9781800262119""",4,3.67,Black Library,Hardcover,323,2022,2022,2023/01/10,2022/12/29,,,read,,,,1,0
22871,"The Gap Into Madness: Chaos and Order (Gap, #4)",Stephen R. Donaldson,"Donaldson, Stephen R.",,"=""0553071793""","=""9780553071795""",5,4.16,Spectra,Hardcover,617,1994,1994,2023/01/08,2020/11/05,,,read,,,,1,0
58663701,Pennyblade,J.L. Worrad,"Worrad, J.L.",James Worrad,"=""1789097614""","=""9781789097610""",0,3.27,Titan Books,Paperback,384,2022,2022,,2023/01/05,to-read,to-read (#1339),to-read,,,,0,0
65211701,"System Collapse (The Murderbot Diaries, #7)",Martha Wells,"Wells, Martha",,"=""1250826977""","=""9781250826978""",0,4.60,Tordotcom,Hardcover,256,2023,2023,,2022/01/29,to-read,to-read (#1126),to-read,,,,0,0
62812411,Shadow of the Winter Moon: Book One of the Kraven Kronicles,Cam Sinclair,"Sinclair, Cam",,"=""""","=""""",0,3.83,,Kindle Edition,,2022,,,2022/12/30,to-read,to-read (#1338),to-read,,,,0,0
60427253,"Ashes of Man (Sun Eater, #5)",Christopher Ruocchio,"Ruocchio, Christopher",,"=""0756416604""","=""9780756416607""",0,4.61,DAW,Hardcover,544,2022,2022,,2022/12/27,to-read,to-read (#1337),to-read,,,,0,0
58743361,"Death's Beating Heart (The War Eternal, #5)",Rob J. Hayes,"Hayes, Rob J.",,"=""""","=""""",0,4.46,,,480,2022,2022,,2022/12/23,to-read,to-read (#1336),to-read,,,,0,0
63249359,"Bone Shroud (Kallattian Saga, #2)",Andrew D. Meredith,"Meredith, Andrew D.",,"=""""","=""""",0,5.00,,Kindle Edition,622,2022,2022,,2022/12/23,to-read,to-read (#1335),to-read,,,,0,0
63040543,"Deathless Beast (Kallattian Saga, #1)",Andrew D. Meredith,"Meredith, Andrew D.",,"=""""","=""9781088058114""",0,4.42,"Games Afoot, LLC",Paperback,530,2022,2022,,2022/12/23,to-read,to-read (#1334),to-read,,,,0,0
63119508,"Traitor of Redwinter (The Redwinter Chronicles, #2)",Ed McDonald,"McDonald, Ed",,"=""""","=""""",0,5.00,,Hardcover,,2023,2023,,2022/12/23,to-read,to-read (#1333),to-read,,,,0,0
59264,"Ptolemy's Gate (Bartimaeus, #3)",Jonathan Stroud,"Stroud, Jonathan",,"=""0786818611""","=""9780786818617""",0,4.27,Hyperion/Miramax,Hardcover,501,2006,2005,,2022/12/22,to-read,to-read (#1332),to-read,,,,0,0
59263,"The Golem's Eye (Bartimaeus, #2)",Jonathan Stroud,"Stroud, Jonathan",,"=""0786836547""","=""9780786836543""",0,4.11,"Little, Brown Books for Young Readers",Paperback,562,2006,2004,,2022/12/22,to-read,to-read (#1331),to-read,,,,0,0
334123,"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,"Stroud, Jonathan",,"=""078681859X""","=""9780786818594""",0,4.02,Hyperion Books for Children,Hardcover,462,2003,2003,,2022/12/22,to-read,to-read (#1330),to-read,,,,0,0
60581370,"The Jasad Heir (The Scorched Throne, #1)",Sara Hashem,"Hashem, Sara",,"=""0316477869""","=""9780316477864""",0,5.00,Orbit Books,Paperback,400,2023,2023,,2022/12/19,to-read,to-read (#1329),to-read,,,,0,0
62694464,The Keep Within,J.L. Worrad,"Worrad, J.L.",,"=""""","=""""",0,4.33,Titan Books,Kindle Edition,496,2023,,,2022/12/17,to-read,to-read (#1328),to-read,,,,0,0
25863111,Savages,K.J. Parker,"Parker, K.J.",,"=""""","=""""",0,4.09,Subterranean Press,Kindle Edition,392,2015,2015,,2022/12/16,to-read,to-read (#1327),to-read,,,,0,0
20919846,Academic Exercises,K.J. Parker,"Parker, K.J.",,"=""1596066091""","=""9781596066090""",0,4.31,Subterranean Press,Hardcover,529,2014,2014,,2022/12/16,to-read,to-read (#1326),to-read,,,,0,0
59935006,"The Ivory Tomb (Rooks and Ruin, #3)",Melissa Caruso,"Caruso, Melissa",,"=""""","=""""",0,4.41,Orbit,Kindle Edition,480,2022,2022,,2022/12/08,to-read,to-read (#1325),to-read,,,,0,0
57386592,"The Quicksilver Court (Rooks and Ruin, #2)",Melissa Caruso,"Caruso, Melissa",,"=""""","=""""",0,4.22,Orbit,Kindle Edition,480,2021,2021,,2022/12/08,to-read,to-read (#1324),to-read,,,,0,0
50147675,"The Obsidian Tower (Rooks and Ruin, #1)",Melissa Caruso,"Caruso, Melissa",,"=""035651319X""","=""9780356513195""",0,3.88,Orbit,Paperback,483,2020,2020,,2022/12/08,to-read,to-read (#1323),to-read,,,,0,0
67035,"Relic (Pendergast, #1)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0765354942""","=""9780765354945""",0,4.04,Tor Books,Paperback,480,2005,1995,,2022/12/08,to-read,to-read (#1322),to-read,,,,0,0
58293284,"The Justice of Kings (Empire of the Wolf, #1)",Richard  Swan,"Swan, Richard",,"=""""","=""""",5,4.08,Orbit,Kindle Edition,496,2022,2022,2022/12/07,2021/11/01,,,read,,,,1,0
60998278,Thick as Thieves,M.J. Kuhn,"Kuhn, M.J.",,"=""""","=""""",0,4.67,Saga Press,,,2023,2023,,2022/12/06,to-read,to-read (#1321),to-read,,,,0,0
59893653,Throne of Light (Dawn of Fire #4),Guy Haley,"Haley, Guy",,"=""1800260172""","=""9781800260177""",0,4.08,Black Library,Paperback,368,2022,2022,,2022/12/05,to-read,to-read (#1320),to-read,,,,0,0
58853222,The Wolftime (Dawn of Fire #3),Gav Thorpe,"Thorpe, Gav",,"=""1789992184""","=""9781789992182""",0,3.83,Black Library,Paperback,368,2021,2021,,2022/12/05,to-read,to-read (#1319),to-read,,,,0,0
56269793,The Gate of Bones (Dawn of Fire #2),Andy     Clark,"Clark, Andy",,"=""178999344X""","=""9781789993448""",0,4.08,Black Library,Paperback,384,2021,2021,,2022/12/05,to-read,to-read (#1318),to-read,,,,0,0
53692747,Avenging Son (Dawn of Fire #1),Guy Haley,"Haley, Guy",,"=""1789991307""","=""9781789991307""",0,3.99,Black Library,Paperback,520,2020,2020,,2022/12/05,to-read,to-read (#1317),to-read,,,,0,0
63018773,The Monsters We Feed,Thomas Howard Riley,"Riley, Thomas Howard",,"=""""","=""""",0,4.64,Thomas Howard Riley,,,2022,,,2022/12/05,to-read,to-read (#1316),to-read,,,,0,0
59007314,"The Faithless (Magic of the Lost, #2)",C.L. Clark,"Clark, C.L.",,"=""""","=""""",0,4.45,,,,2023,2023,,2022/12/02,to-read,to-read (#1315),to-read,,,,0,0
63251772,"The Traitor (Covenant of Steel, #3)",Anthony Ryan,"Ryan, Anthony",,"=""0316430838""","=""9780316430838""",0,4.86,Orbit,Paperback,600,2023,2023,,2022/12/02,to-read,to-read (#1314),to-read,,,,0,0
35437058,"Master Assassins (The Fire Sacraments, #1)",Robert V.S. Redick,"Redick, Robert V.S.",,"=""""","=""""",5,4.08,Talos,Kindle Edition,504,2018,2018,2022/12/01,2020/04/28,,,read,,,,1,0
45309582,"Shorefall (The Founders Trilogy, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""""","=""""",3,4.08,Del Rey,Kindle Edition,493,2020,2020,2022/11/22,2022/11/07,,,read,,,,1,0
844173,"His Last Command (Gaunt's Ghosts, #9)",Dan Abnett,"Abnett, Dan",,"=""1844162397""","=""9781844162390""",4,4.28,Black Library Publishing,Paperback,416,2006,2005,2022/11/22,2020/11/15,,,read,,,,1,0
1052306,"Only in Death (Gaunt's Ghosts, #11)",Dan Abnett,"Abnett, Dan",,"=""1844164284""","=""9781844164288""",0,4.37,Games Workshop,Hardcover,320,2008,2007,,2022/11/20,to-read,to-read (#1313),to-read,,,,0,0
54566785,A Song for the Void,Andrew C. Piazza,"Piazza, Andrew C.",,"=""""","=""""",0,4.20,,Kindle Edition,347,2020,,,2022/11/18,to-read,to-read (#1312),to-read,,,,0,0
63028697,Demon’s Reign,David Estes,"Estes, David",Ben Galley,"=""""","=""""",0,4.04,"Wraithmarked Creative, LLC",Kindle Edition,642,2022,2022,,2022/11/16,to-read,to-read (#1311),to-read,,,,0,0
60455729,The Last Hunter (The Last Hunter #1),J.N. Chaney,"Chaney, J.N.",Terry Mixon,"=""""","=""""",0,4.47,Variant Publications,Kindle Edition,412,2022,2022,,2022/11/14,to-read,to-read (#1310),to-read,,,,0,0
60321139,"The Immortality Thief (The Kystrom Chronicles, #1)",Taran Hunt,"Hunt, Taran",,"=""1786185121""","=""9781786185129""",0,4.18,Solaris,Hardcover,608,2022,2022,,2022/11/14,to-read,to-read (#1309),to-read,,,,0,0
61033024,A Frost of Fear and Fortitude (Levanthria),A.P. Beswick,"Beswick, A.P.",,"=""""","=""""",0,4.02,,Kindle Edition,,2022,,,2022/11/14,to-read,to-read (#1308),to-read,,,,0,0
61065561,"A Kingdom of Courage and Cruelty (Levanthria, #3)",A.P. Beswick,"Beswick, A.P.",,"=""""","=""""",0,4.00,,Kindle Edition,,2023,,,2022/11/14,to-read,to-read (#1307),to-read,,,,0,0
61033025,"A Sea of Sorrow and Scorn (Levanthria, #2)",A.P. Beswick,"Beswick, A.P.",,"=""""","=""""",0,4.12,,Kindle Edition,230,2022,,,2022/11/14,to-read,to-read (#1306),to-read,,,,0,0
60114142,"A Forest of Vanity and Valour (Levanthria, #1)",A.P. Beswick,"Beswick, A.P.",,"=""""","=""""",0,3.74,A.P Beswick Publications,Kindle Edition,246,2022,,,2022/11/14,to-read,to-read (#1305),to-read,,,,0,0
60905870,"A Loch of Grace and Greed (Levanthria, #0.5)",A.P. Beswick,"Beswick, A.P.",,"=""""","=""""",0,3.90,,ebook,21,,,,2022/11/14,to-read,to-read (#1304),to-read,,,,0,0
61272272,"Arca (The Five Queendoms, #2)",G.R.  Macallister,"Macallister, G.R.",,"=""1982167947""","=""9781982167943""",0,4.33,Gallery / Saga Press,ebook,544,2023,2023,,2022/11/12,to-read,to-read (#1303),to-read,,,,0,0
58259186,The Witchfinder,J. Todd Kingrea,"Kingrea, J. Todd",,"=""1643972367""","=""9781643972367""",0,4.14,BHC Press,Hardcover,340,2021,,,2022/11/07,to-read,to-read (#1302),to-read,,,,0,0
54836233,The Skald's Black Verse (Dreadbound Ode #1),Jordan Loyal Short,"Short, Jordan Loyal",,"=""""","=""""",3,4.16,Amazon Digital Services,Kindle Edition,339,2020,2018,2022/11/07,2022/02/16,,,read,"How i rate books:<br/>5- Blew me away<br/>4- Loved it<br/>3- Liked it<br/>2- Disliked it<br/>1- Hated it<br/><br/>Rating: 3/5 stars<br/><br/>The Skald's Black Verse piqued my interest after reading a review on Grimdark Magazine that compared it vaguely to 40k. 40k-esque Grimdark Sci-Fantasy? Sign me the f*ck up!<br/><br/>What we get is a story taking place in a backwater village on a backwater planet conquered a few decades ago by a spacefaring empire. Much akin to the Imperium in 40k the empire uses archaic technology that seems to have more in common with magic than laws of physics. So far so good. Sound just like my coup of tea. Revolution against impossible odds.<br/><br/>However, once i actually got to reading the book i realised, that the concepts and stories in this book are more interesting to talk about than to read about:<br/><br/>- The plot is interesting, but the author does not make good use of it. I never got fully hooked, even tough on paper it sounds incredibly fun. Overthrowing an oppressive regime while trying to escape a planet that is bound to be destroyed by a pulverized moon? Hell yeah!<br/><br/>- The characters are bland and forgettable. This does not have to be a dealbreaker if the story is good enough to pull you in on it's own. But like i said: cool idea, not so great execution. Paired with the not-so-interesting characters we get a story that drags more than it flies by. Thankfully the book is relatively short, or else i would have given it a 2.5/5.<br/><br/>- The world is not all that immersive. I usually have a pretty vivid imagination while reading. But i did have trouble actually visualizing whatever was going on during the book. If i had to guess, i would say that the way the author describes things and tells his story are not fully able to convey what he had in mind when writing a scene.<br/><br/>All in all this was an enjoyable read, but i left with the feeling that i would have hated this book if it would have been even 50 pages longer. I might give the second book a try, since the plot hook is good enough to keep me interested. But who knows...",,,1,0
59425056,"Eleventh Cycle (Mistland, #1)",Kian N. Ardalan,"Ardalan, Kian N.",,"=""3200086734""","=""9783200086739""",0,3.97,,Kindle Edition,779,2023,2023,,2022/11/06,to-read,to-read (#1301),to-read,,,,0,0
42602296,"We Are the Dead (The Last War, #1)",Mike Shackle,"Shackle, Mike",,"=""1473225205""","=""9781473225206""",5,4.06,Gollancz,Paperback,488,2019,2019,2022/11/03,2020/08/22,,,read,,,,1,0
52028992,Negative Space,B.R. Yeager,"Yeager, B.R.",,"=""1733569456""","=""9781733569453""",0,3.84,Apocalypse Party,Paperback,364,2020,2020,,2022/10/30,to-read,to-read (#1300),to-read,,,,0,0
60784635,"Son of the Poison Rose (Kagen the Damned, #2)",Jonathan Maberry,"Maberry, Jonathan",,"=""1250783992""","=""9781250783998""",0,4.38,St. Martin's Griffin,Paperback,704,2023,2023,,2022/10/28,to-read,to-read (#1299),to-read,,,,0,0
60784410,The Scourge Between Stars,Ness Brown,"Brown, Ness",,"=""1250834686""","=""9781250834683""",0,3.93,Tor Nightfire,Paperback,176,2023,2023,,2022/10/28,to-read,to-read (#1298),to-read,,,,0,0
62919356,"Immortal Longings (Flesh and False Gods, #1)",Chloe Gong,"Gong, Chloe",,"=""1668000229""","=""9781668000229""",0,4.37,Gallery / Saga Press,Hardcover,384,2023,2023,,2022/10/28,to-read,to-read (#1297),to-read,,,,0,0
60028919,"The Tyranny of Faith (Empire of the Wolf, #2)",Richard  Swan,"Swan, Richard",,"=""""","=""""",0,4.49,Orbit,Kindle Edition,496,2023,2023,,2022/10/28,to-read,to-read (#1296),to-read,,,,0,0
60784301,"Dead Country (Craft Wars, #1)",Max Gladstone,"Gladstone, Max",,"=""0765395916""","=""9780765395917""",0,4.35,Tordotcom,Paperback,256,2023,2023,,2022/10/28,to-read,to-read (#1295),to-read,,,,0,0
60784443,Rubicon,J.S. Dewes,"Dewes, J.S.",,"=""1250851238""","=""9781250851239""",0,4.35,Tor Books,Paperback,480,2023,2023,,2022/10/27,to-read,to-read (#1294),to-read,,,,0,0
35838138,"The Wolf (Under the Northern Sky, #1)",Leo Carew,"Carew, Leo",,"=""031652137X""","=""9780316521376""",5,3.85,Orbit,Paperback,465,2018,2018,2022/10/25,2020/04/06,,,read,,,,1,0
56666839,"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,"Gibson, S.T.",,"=""1916366937""","=""9781916366930""",0,4.09,Nyx Publishing,Paperback,248,2021,2021,,2022/10/16,to-read,to-read (#1293),to-read,,,,0,0
22877,"The Gap Into Power: A Dark and Hungry God Arises (Gap, #3)",Stephen R. Donaldson,"Donaldson, Stephen R.",,"=""0553562606""","=""9780553562606""",5,4.09,Spectra,Paperback,518,2009,1992,2022/10/16,2020/11/05,"space-opera, grimdark","space-opera (#1), grimdark (#1)",read,,,,1,0
59487462,Everything the Darkness Eats,Eric LaRocca,"LaRocca, Eric",,"=""""","=""""",0,4.21,CLASH Books,Kindle Edition,202,2023,2023,,2022/10/15,to-read,to-read (#1292),to-read,,,,0,0
34340201,"The Brass God (The Gates of the World, #3)",K.M. McKinley,"McKinley, K.M.",,"=""""","=""9781781085073""",0,3.92,Solaris,Mass Market Paperback,645,2018,2018,,2022/10/13,to-read,to-read (#1291),to-read,,,,0,0
22033888,"The City of Ice (The Gates of the World, #2)",K.M. McKinley,"McKinley, K.M.",,"=""""","=""""",0,3.89,Solaris,Mass Market Paperback,400,2016,2016,,2022/10/13,to-read,to-read (#1290),to-read,,,,0,0
23492427,"The Iron Ship (The Gates of the World, #1)",K.M. McKinley,"McKinley, K.M.",,"=""1781083509""","=""9781781083505""",0,3.63,Rebellion,Mass Market Paperback,650,2015,2015,,2022/10/13,to-read,to-read (#1289),to-read,,,,0,0
61634435,Paradise-1,David Wellington,"Wellington, David",,"=""031649674X""","=""9780316496742""",0,3.92,Orbit,Paperback,688,2023,2023,,2022/10/10,to-read,to-read (#1288),to-read,,,,0,0
24827,Ship of Fools,Richard Paul Russo,"Russo, Richard Paul",,"=""0441008933""","=""9780441008933""",0,3.74,Ace,Paperback,370,2001,2001,,2022/10/10,to-read,to-read (#1287),to-read,,,,0,0
61661304,"The Dark City (Vaults of Terra: Warhammer 40,000 Book 3)",Chris Wraight,"Wraight, Chris",,"=""""","=""""",0,4.21,Black Library,Kindle Edition,350,2022,2022,,2022/10/09,to-read,to-read (#1286),to-read,,,,0,0
34219836,"Forbidden Suns (The Silence, #3)",D. Nolan Clark,"Clark, D. Nolan",,"=""031635581X""","=""9780316355810""",0,3.65,Orbit,Paperback,624,2017,2017,,2022/10/08,to-read,to-read (#1285),to-read,,,,0,0
31423187,Forgotten Worlds (The Silence #2),D. Nolan Clark,"Clark, D. Nolan",,"=""0316355771""","=""9780316355773""",0,3.87,Orbit,Paperback,624,2017,2017,,2022/10/08,to-read,to-read (#1284),to-read,,,,0,0
28962966,"Forsaken Skies (The Silence, #1)",D. Nolan Clark,"Clark, D. Nolan",,"=""0316355690""","=""9780316355698""",0,3.66,Orbit,Paperback,608,2016,2016,,2022/10/08,to-read,to-read (#1283),to-read,,,,0,0
58832801,The Martyr (Covenant of Steel #2),Anthony Ryan,"Ryan, Anthony",,"=""0356514595""","=""9780356514598""",3,4.47,Orbit,Hardcover,528,2022,2022,2022/10/04,2022/01/29,,,read,Like all of Anthony Ryan's recent books this was entertaining but did not grip me enough to give it 4 starts. I get why people adore it. It is well written and has a compelling main character. But the story surrounding him is pretty bland and generic.,,,1,0
